rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,3,FLUX-1-Kontext-Max,1190,+2/-2,357129,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext
2,4,FLUX-1-Kontext-Pro,1172,+2/-2,2661053,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext
3,4,GPT-Image-1,1167,+3/-3,1295230,OpenAI,Proprietary,not specified,https://platform.openai.com/docs/models/gpt-image-1
4,6,FLUX-1-Kontext-Dev,1155,+2/-2,2027831,Black Forest Labs,Proprietary,not specified,https://bfl.ai/announcements/flux-1-kontext-dev
5,7,seededit-3.0,1145,+3/-3,1794161,Bytedance,Proprietary,not specified,https://seed.bytedance.com/en/tech/seededit
6,9,Gemini-2.0-Flash-Preview-Image-Generation,1093,+2/-2,2145496,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-preview-image-generation
7,10,BAGEL,1043,+5/-5,12775,Bytedance,Apache 2.0,not specified,https://huggingface.co/ByteDance-Seed/BAGEL-7B-MoT
8,11,Step1X-Edit,1017,+4/-4,138414,StepFun,Apache 2.0,not specified,https://huggingface.co/stepfun-ai/Step1X-Edit
